id	GSM531302	GSM531303	GSM531304	GSM531305	GSM531310	GSM531313	GSM531319	GSM531320	GSM531321	GSM531323	GSM531325	GSM531326	GSM531331	GSM531332	GSM531333	GSM531334	GSM531335	GSM531351	GSM531352	TARGET.40.0A4HLD	TARGET.40.0A4HMC	TARGET.40.0A4HX8	TARGET.40.0A4HXS	TARGET.40.0A4I0S	TARGET.40.0A4I0W	TARGET.40.0A4I3S	TARGET.40.0A4I42	TARGET.40.0A4I4M	TARGET.40.0A4I4O	TARGET.40.0A4I5B	TARGET.40.0A4I65	TARGET.40.0A4I6O	TARGET.40.0A4I8U	TARGET.40.0A4I9K	TARGET.40.PAKFVX	TARGET.40.PAKUZU	TARGET.40.PAKXLD	TARGET.40.PAKZZK	TARGET.40.PALECC	TARGET.40.PALFYN	TARGET.40.PALKDP	TARGET.40.PALKGN	TARGET.40.PALZGU	TARGET.40.PAMHLF	TARGET.40.PAMHYN	TARGET.40.PAMJXS	TARGET.40.PAMTCM	TARGET.40.PANGPE	TARGET.40.PANGRW	TARGET.40.PANSEN	TARGET.40.PANVJJ	TARGET.40.PANXSC	TARGET.40.PANZZJ	TARGET.40.PAPIJR	TARGET.40.PAPKWD	TARGET.40.PAPNVD	TARGET.40.PAPWWC	TARGET.40.PAPXGT	TARGET.40.PARFTG	TARGET.40.PARGTM	TARGET.40.PARKAF	TARGET.40.PASEBY	TARGET.40.PASEFS	TARGET.40.PASFCV	TARGET.40.PASKZZ	TARGET.40.PASNZV	TARGET.40.PASRNE	TARGET.40.PASUUH	TARGET.40.PASYUK	TARGET.40.PATAWV	TARGET.40.PATEEM	TARGET.40.PATKSS	TARGET.40.PATMIF	TARGET.40.PATMPU	TARGET.40.PATPBS	TARGET.40.PAUBIT	TARGET.40.PAUTWB	TARGET.40.PAUTYB	TARGET.40.PAUUML	TARGET.40.PAUYTT	TARGET.40.PAVALD	TARGET.40.PAVCLP	TARGET.40.PAVDTY	TARGET.40.PAVECB	GSM530667	GSM530899	GSM531283	GSM531284	GSM531285	GSM531286	GSM531287	GSM531288	GSM531289	GSM531290	GSM531291	GSM531292	GSM531293	GSM531294	GSM531295	GSM531296	GSM531297	GSM531298	GSM531299	GSM531300	GSM531301	GSM531306	GSM531307	GSM531308	GSM531309	GSM531311	GSM531312	GSM531314	GSM531322	GSM531324	GSM531327	GSM531328	GSM531329	GSM531330	TARGET.40.0A4HY5	TARGET.40.0A4I0Q	TARGET.40.0A4I48	TARGET.40.PALHRL	TARGET.40.PALWWX	TARGET.40.PAMEKS	TARGET.40.PAMLKS	TARGET.40.PAMRHD	TARGET.40.PAMYYJ	TARGET.40.PANMIG	TARGET.40.PANPUM	TARGET.40.PANZHX	TARGET.40.PARBGW	TARGET.40.PARDAX	TARGET.40.PARJXU	TARGET.40.PASSLM	TARGET.40.PATJVI	TARGET.40.PATMXR	TARGET.40.PATUXZ	TARGET.40.PAUVUL	TARGET.40.PAUXPZ
ATG4D	4.023853752	4.992491289	3.893864081	4.388041142	5.218711258	5.260912648	4.433659332	4.628159576	4.521322418	4.671143439	5.230950879	4.971399288	4.757841474	4.668736899	4.596104255	6.090256038	4.580049643	4.77172255	5.51394189	4.603129024	4.634865763	5.059147695	4.341262161	4.459577654	3.583058064	4.753866588	5.733509624	5.139209104	4.722215695	5.35373398	5.267821158	3.96380633	3.943607111	4.162131757	5.04817039	5.028443774	5.025815293	4.218948747	4.860966239	4.540777406	4.624830399	5.250029278	5.681389969	4.37493229	4.47171298	4.861476145	4.269755735	3.92656891	4.266203437	4.145684313	3.681368311	4.785314663	4.448312288	4.688891529	5.129260248	6.055439853	5.181891073	4.784229101	5.061063181	4.589074879	4.524642283	4.29955412	4.674204019	3.884551024	3.934767036	4.740923217	5.109559773	6.689436872	4.405315767	3.600231856	4.72473763	5.575450521	4.433797473	4.909132423	4.6554716	4.816401504	4.847284035	5.145340665	4.746752922	5.129207391	4.593975353	5.143069459	5.124082834	2.995020666	5.194128376	3.969590791	5.264135388	4.596896111	5.663158487	4.947212859	4.785345228	4.118326782	4.745352151	4.353965991	4.320582205	4.752184012	5.276371531	4.350797844	5.243658933	4.366894188	4.025555016	4.447162031	5.10707562	4.801457221	4.744063678	5.503827808	4.584908621	4.951419087	4.971132197	5.165755897	5.912141473	5.367680941	4.427848853	6.251679217	4.736937955	3.881091328	4.680173869	5.374789276	4.943653873	4.907959328	5.239953826	5.33559148	4.803223465	4.311887257	5.014977637	4.485634175	4.784778073	4.282038446	5.271735881	5.358592958	4.706136164	5.446734818	4.698409907	4.890462161	5.215229586	4.52260089	5.301409822	5.378149968	4.820124574
BNIP3	4.942677373	5.150837845	7.444227674	5.199565602	4.967490163	4.803982711	6.212525912	6.584035467	5.703598176	5.167307069	6.272849165	6.771728185	6.564253584	7.331207903	5.806100077	7.56116024	8.162050573	6.755150603	7.163605471	7.929799664	6.320739892	5.67261491	6.272086802	5.604430706	6.198452599	7.059430382	7.882171065	5.67172683	7.780764498	5.162686705	6.247777473	8.04204747	5.407172505	4.278013684	7.592890418	6.590165321	6.678076943	4.95362992	6.072641364	5.293091113	6.281846675	4.834352782	6.274811521	4.267822559	5.031323153	4.796665751	6.98157227	6.144356737	5.108914121	6.012001239	4.899126362	5.897258416	5.275432911	5.957533291	7.307287084	7.313660418	4.286401396	6.611573303	4.718623624	6.956656888	6.383577776	4.720786369	6.061225728	5.203598096	5.637224297	4.98821743	6.209990212	6.967514461	5.322645451	4.942172855	5.518484624	8.774401767	5.325975538	7.743536382	6.082382881	6.704789672	5.842738241	5.829449976	6.825057821	5.573062981	7.087778551	5.688619073	6.132682967	4.929599743	5.005238135	6.58009657	5.733260975	5.185823284	7.043971195	8.763718559	5.423625026	6.174085115	6.712324284	6.8598531	5.631379454	5.675283494	6.221224416	8.165847961	5.524613487	7.694893153	5.820798756	7.124177545	6.083133462	6.211286439	5.586076285	8.07619065	5.977036696	6.992295148	5.950947425	7.331781939	4.087061303	7.773622977	6.630906944	5.639400327	7.015263471	7.149405906	8.686023495	5.642938037	8.001422646	7.145281768	5.72820908	6.781372271	6.120912718	6.07745105	7.812607963	6.019685691	7.480845429	5.498828657	5.999689761	4.928288017	5.944162542	6.827747895	6.54749324	8.33266292	6.094491649	8.086103461	7.374745702	7.409677087	6.703288516
GOPC	4.210247534	4.201019033	4.183951536	4.229059589	4.546117181	4.787566703	5.716960333	4.420860216	6.007623088	4.664802786	4.737645282	5.596443806	4.357667487	4.539264657	5.056136521	4.489815361	5.644430668	5.688475481	4.613809488	4.667018564	5.626786332	5.633879991	5.045357006	5.731603155	4.790156575	4.951619496	4.724010435	4.10569078	4.556745774	5.274456944	4.830205982	4.713881215	4.868586663	5.419340204	3.93505219	5.096636457	5.047180734	5.327678041	5.185635848	4.870931983	5.682394103	3.249821284	4.963583883	5.102984438	4.457025103	6.20481624	5.121476369	5.264201256	5.405711772	4.614843895	5.413956847	4.685451858	4.936394322	4.931393104	4.885167789	5.525736363	4.566564926	4.583408452	4.460019842	5.311810191	4.89464177	4.615692756	6.261558871	5.170489103	4.720723425	5.106843708	5.846037447	5.108108963	5.318071315	5.838096571	5.103351122	4.341863606	4.921576865	5.567408877	5.611362565	5.09574338	4.929438764	4.767820391	4.96369331	4.319123772	4.512737414	4.094193662	4.252965319	5.04857629	5.320710711	5.394032048	5.37580919	5.492270435	5.531843498	5.380831751	5.265150663	5.159097271	5.487458986	5.730871854	5.372757652	5.626119684	5.690218278	6.048251874	5.718031408	5.541102706	6.389026051	5.433211675	4.26406894	4.227115592	4.264111162	4.645066792	6.14470156	4.519325227	4.313888643	4.55409068	4.564059995	4.640698679	4.846663046	4.655083127	5.978245964	6.203141376	5.771112802	4.324925036	5.560182964	5.462709511	5.379643783	4.365784535	4.334974558	5.426593869	4.238322954	5.909405879	4.451418029	4.749394656	6.012734842	4.899156595	5.123443918	4.796583269	4.222386303	5.334387518	5.135773721	5.196366778	5.893958606	4.538953507	5.225430059
HSPA5	9.165695341	9.282584948	8.633957978	10.01237218	8.761756748	7.85483466	8.489493564	8.748573138	8.4668014	8.604697304	8.647276609	7.972353733	8.073350742	8.422821484	8.275719398	8.322425416	8.202093713	8.480394829	8.49296799	8.879988052	8.635980756	7.382905868	8.610745091	7.801762952	8.042724609	8.566678004	8.134358298	8.311382627	8.892317665	9.033286999	7.944255888	9.092001628	8.176848362	8.833939359	9.030306659	9.758903741	8.927819014	8.575934734	8.840178551	8.476487913	8.575199389	7.60549207	8.664972473	8.246331317	8.495253179	8.854116615	8.030953629	8.633708753	8.168236811	8.313595544	8.894111078	8.303109323	8.183570254	8.314975786	8.557369351	8.693832366	8.732710429	8.035916151	8.240144316	8.135851876	8.695013357	8.852083135	8.362058507	9.288106536	8.643153112	9.36179225	8.869067769	8.624451542	8.469670688	8.607577216	8.19710434	8.152200317	8.740493556	9.029325598	8.937796149	7.880960281	8.317769149	8.667277573	8.577845178	8.258468464	8.218969882	8.83791983	8.313018821	7.732679859	8.907418116	8.534892934	8.375938434	8.827126934	8.548591908	8.435848981	8.507793554	8.954219219	8.166502071	8.341297821	10.24427043	8.361646127	9.260309085	7.879597615	8.452173267	8.609828898	8.941523398	8.714334563	9.088912643	10.41226566	8.685193698	8.651498234	8.671082053	8.541172383	8.587329757	8.726959071	7.690883243	8.385176946	8.238323032	8.534331929	8.834294482	8.607365231	8.453145041	8.80967018	9.186445736	9.274204871	8.068969966	8.603509683	9.636224889	8.950023626	8.412760945	9.104939885	8.879431675	7.922156325	8.23643185	8.710599269	8.776773353	8.93330419	9.521916617	8.738601526	8.985072591	8.600226549	9.257812455	8.10875447	8.283710457
KLHL24	3.518562472	3.398599694	3.305806371	3.378436138	3.867090604	3.984451947	5.117511146	3.701019593	5.294935391	3.68840814	3.84614815	5.55720653	3.676270434	3.696268178	4.233373143	3.999344358	5.176448199	5.232693248	3.859911926	4.365149695	4.674262089	5.274952081	4.36288225	4.886767715	4.299310089	5.312472083	4.376734391	4.219616381	3.716683461	5.220338043	4.454985593	3.265568161	3.984411293	4.493833983	3.205919912	3.934938033	4.585739907	4.215027832	4.047389993	3.417260818	4.651624657	2.661322124	3.775493156	4.621713778	3.481610324	3.752613657	3.05249017	4.400468588	3.996556192	3.774132091	4.320880877	4.184818067	3.770677473	4.472417792	4.193616823	4.88579641	4.219266463	5.458491737	4.468617032	4.170841728	4.019416514	4.167132436	6.570889244	4.634202685	4.518202436	4.445646671	4.748397327	3.227384863	5.056482516	3.917166337	4.818349154	5.146820433	4.120297039	4.40626401	4.396111264	4.951411118	4.525722958	3.923749522	3.860719878	4.081376236	4.784206123	4.54286778	4.638785782	4.404069847	4.593870849	5.181254422	4.894086426	4.946602798	4.95732344	4.701194305	5.382463609	4.383427753	4.733697606	4.794620221	4.696175362	4.574236776	4.347452157	4.951603628	5.246095213	5.288993105	4.891964313	4.960812455	3.335937218	3.631688416	3.626112122	3.76285255	5.30131195	3.605568174	3.675861248	3.826364059	3.777070567	4.3206408	4.221678998	3.868091515	4.732453321	5.097111183	5.07331788	3.751385059	4.300458001	4.683642817	4.540190121	3.542457954	3.379942631	6.183345635	3.500502875	4.482055458	3.275717066	4.010133465	5.670609989	3.925481867	4.618680299	4.936920923	4.030741102	4.640995151	4.168771402	4.378695772	4.718188794	3.729143516	4.304714195
MAP2K7	5.312239403	5.264533914	5.376688968	5.060778563	5.03571974	5.571080681	5.157320698	5.087253537	5.512953848	4.714970329	4.809420556	5.61552197	5.525458286	5.134659343	4.793299351	5.260961217	5.433711086	5.361601964	4.796581178	4.975589214	5.355993926	5.858357543	5.236216903	4.744450394	4.440825026	5.145149289	4.950464546	4.841427264	4.584441562	5.552621633	5.038328744	5.313702719	4.919319391	4.854878103	4.547905031	7.254690903	5.837120293	5.002039332	4.562474343	4.529716024	4.515674376	4.172556973	5.296069326	5.339540165	4.831910778	4.916334057	4.717420578	4.35587659	4.410881332	5.245972363	4.586725112	4.79025773	4.604531164	5.18134445	4.651769089	5.372733593	3.816733732	4.954420164	4.655331472	4.855305925	4.866198038	4.931199529	5.63772378	4.848345165	5.149815067	4.904237953	5.393642876	6.614774283	5.049062359	4.284908804	4.987208667	6.218163081	5.389153379	4.967741871	4.936148191	5.56832834	5.119344174	5.297308307	6.249847018	6.056999887	6.085367572	5.451866742	4.581824003	4.955854168	6.179585231	5.9232942	6.336730994	5.748969524	5.725074178	5.550626104	6.125213255	5.069340394	5.806338334	5.368777024	5.499944347	5.753385448	5.805365832	4.968875931	5.025081264	5.433479264	4.987667845	6.112226973	4.952196492	4.909741339	4.448640189	4.157074656	4.932376252	4.572215533	5.145160301	4.755721685	5.067204415	5.31946441	4.466441973	5.312160361	5.58752536	4.918041395	5.025868668	4.737914026	6.078358358	5.876209335	5.385116213	4.870407125	5.161842056	5.404335582	5.505670306	4.977459914	4.965002302	5.199822852	6.213169892	4.270993322	4.535586607	5.641794253	5.019128081	5.42787911	5.760813627	4.824124783	5.38989524	6.554253019	5.948591257
MYC	5.656485242	5.301424964	5.785315676	5.304516541	6.126834985	6.466506613	7.231031647	6.178859496	6.673929366	6.325037487	7.480721833	6.966528226	7.344367882	7.253046077	6.382633418	6.974510258	7.973980339	7.882026372	6.536660654	6.791907161	6.037576863	7.481844115	8.166064009	5.888186148	6.936719164	6.755500283	6.941054752	6.527450858	6.307984829	5.992495592	6.715625744	6.845523616	6.635874778	5.205634272	5.749973139	7.316609334	8.211690806	6.347336178	6.443695405	5.565064411	5.493626968	7.160029194	7.695122421	6.623882636	6.595816878	6.137674218	7.763930278	5.808436656	5.632809547	6.20185488	7.047814167	5.768907617	7.696047887	7.210765848	8.724785994	7.880300414	5.984594496	5.687399694	6.148195526	5.698447004	6.537799472	6.216870364	7.208401938	6.033271718	6.684843644	7.177679628	6.526027981	5.72760689	5.873796635	6.200641867	6.458333363	7.91304855	6.462672897	6.662363535	6.150293471	6.556933648	7.039155477	6.447019182	7.868761923	5.649156942	7.810094422	6.740680942	5.402372789	7.249932739	6.625224917	8.961801759	6.196786234	6.564093648	7.40498425	8.526037039	6.776242292	8.207780594	7.485982642	7.295050565	6.083889221	7.558483738	7.861992775	10.00865672	7.815841579	7.104951534	7.269730056	5.41648894	7.523326705	8.383875601	6.105852578	7.544266346	7.508662146	6.647393698	5.681542807	7.277326208	5.867339281	6.822443426	7.564031325	5.996886997	8.581655905	8.003745636	8.525442331	5.755702051	8.658123976	8.288123329	7.636716213	6.897389598	6.28497705	7.295053436	10.69927068	7.04946052	7.180600735	6.117625101	8.030364088	6.064537177	7.954571257	7.256048389	7.309778215	7.24373606	6.327757725	6.82590636	5.78354229	8.815656312	5.700342987
PELP1	5.528712211	4.851144625	5.514907588	5.119923126	5.046831973	4.437464219	5.506064523	4.919385909	5.030136082	5.02953503	5.046650045	5.692273212	5.227404358	5.580256454	6.037213758	5.203009936	5.809168623	5.699035623	5.197013232	5.730018364	5.784117402	6.087053454	5.362007959	4.730232123	6.198749666	5.355324925	4.880875163	5.574034482	5.849907918	5.789301186	6.060446492	6.05745888	5.680059622	4.749561361	5.287180264	5.004417838	5.654860709	4.945546072	4.661425131	5.153030818	5.349394132	6.693558766	5.006357	5.425466856	5.077734377	4.624615544	4.996383278	4.976552038	4.621011977	6.395474718	6.072586535	5.1770747	5.471826194	4.954455631	5.100824402	5.467378729	4.618885999	5.448098605	4.906226008	5.458973176	4.64414473	6.074783129	6.819688569	5.472038256	4.692937812	5.065760765	5.495412487	5.480214705	5.525028019	5.127545748	6.05267276	5.318325625	5.696983626	5.262017779	5.364933557	6.012459169	5.291926102	6.298387679	5.578691736	4.983164079	6.379397356	5.966957572	4.70661547	5.50253729	5.899572824	6.375150076	6.412455603	6.036321377	5.704107704	6.283197173	6.753287809	5.795732447	5.833741505	6.248358031	5.578463646	5.457389656	6.100475047	7.244064078	6.715290266	5.932676744	5.849353889	6.872938619	4.552174182	4.681545454	5.135070313	5.234296868	5.578695085	5.199583233	5.206583993	5.070894766	4.862084448	5.030355993	5.642928205	5.057546113	5.938892221	6.425620025	6.296240693	4.680442374	6.174301219	5.702648943	5.863739228	5.250738123	5.590263363	6.140651549	6.640119254	6.287408975	5.535024475	5.570107049	5.1676953	5.393253732	4.324590671	5.241748574	5.072375802	5.890616297	6.867435939	5.870647982	5.229593681	5.031945332	4.827547131
PEX3	4.136794646	3.940530483	3.703172911	3.759336311	3.659960785	3.837089797	4.371673665	3.493443426	4.617572797	3.748595452	3.902165706	4.697247716	3.599098694	3.637096689	4.377567175	3.814920363	4.53867173	4.516500907	3.684410099	4.46548546	3.931220804	4.885427219	3.963427639	3.888961292	3.605141164	4.881853228	4.175703787	4.63730067	3.563113678	4.291906114	4.169998246	4.496559452	4.339466912	4.407709145	3.750385459	2.986568986	4.791776524	4.043426516	3.846001878	3.9792452	3.976221811	5.087483708	3.98287909	4.724202283	3.394276896	4.288704512	4.193221086	4.401533528	4.264860027	3.868363771	4.228204342	3.897627162	4.214834973	4.082319839	4.51835016	3.82463593	3.776371388	4.302299939	3.989808348	4.594800492	3.882704619	3.745029633	5.138773965	3.910207877	3.717567698	4.541425575	4.478626365	3.925939917	4.458374432	4.400814734	5.003933133	3.498328225	4.234662259	4.26904498	4.600095231	3.978470667	3.883498823	2.917950674	3.445635112	2.784673212	4.922569909	3.105794434	3.599335209	3.809832343	3.971424297	4.020814745	4.501792958	4.416434316	4.168608192	4.525137759	4.417802799	4.189296607	4.637779935	5.016171895	4.222923791	4.688882029	4.50938561	5.304648233	4.726584099	4.747389217	4.878317667	4.387516938	3.545805065	3.5684038	3.407860531	3.859785213	5.042164747	3.674082686	3.382569288	3.55936903	3.694653009	3.657538623	4.115335975	3.573879123	4.752792296	5.400362892	5.23311197	3.647018666	4.418970107	4.007430719	5.100401384	4.245272343	4.223981778	4.745970307	4.846912154	4.390487763	3.493204619	4.067163867	4.334256796	4.330228917	3.458476153	3.715934231	3.028977609	4.748628463	4.25825224	4.28673653	4.444628137	4.303181926	3.120735985
RAB33B	3.233254641	3.197453397	3.226654906	3.19193669	3.194192052	3.202705693	4.346041126	3.204497025	4.636162448	3.246679998	3.292970952	4.738087123	3.238619005	3.204853365	3.678467119	3.397295451	4.445164984	4.680076342	3.314782999	3.742819739	3.26041829	4.378016601	4.715572656	3.66034937	4.841282233	4.532390376	4.305956149	3.983007527	4.133441052	4.070025253	4.532657551	3.522801015	3.556415243	4.313198257	3.451973657	3.707672161	3.681456537	4.306544703	3.013982014	3.196205419	4.749109507	3.031127471	3.944336972	4.189515748	3.285903524	4.150469379	4.325676348	4.281129201	3.641191012	3.680476104	4.326952876	3.206641232	3.76111086	3.574314216	3.576626374	4.154628746	5.137555959	3.665748917	2.858173216	3.517922711	4.710845797	3.753043241	4.402776402	3.840920159	4.022707438	4.014711921	4.599174584	2.951803429	4.031564743	4.554228879	3.749079527	4.740037051	3.959641997	4.820304205	4.300765772	3.738238872	3.895607217	3.435793373	4.512986109	4.304031631	4.046849133	3.92567574	2.969517437	3.669769547	4.038758033	4.308971584	4.959108561	4.943773675	4.145597051	4.284209005	4.600215334	4.116536502	4.621333962	4.710682542	4.147175629	4.379547078	4.189051292	4.495597533	4.796404683	5.004611539	4.970380993	4.135352489	3.294128745	3.245743526	3.267124813	3.281708495	4.943675616	3.244380328	3.283795755	3.203090394	3.224525963	3.332610858	3.6115867	3.211972633	4.993155246	5.615237656	5.585092327	3.246613802	3.513806639	4.703635199	4.26117321	3.16204322	3.177613689	4.341912708	1.648872856	4.162394744	2.839954159	3.978035186	3.706107847	3.293975526	3.663203583	3.350866501	4.336762114	4.172907486	4.598679777	3.605975077	4.024017451	4.413744594	4.060498491
