gene	logFC	entrezID
ATG4C	-0.238947391	84938
ATG4D	0.247913541	84971
ATG7	-0.2783917	10533
BCL2L1	-0.206198421	598
BNIP3	0.547829268	664
CANX	-0.209237872	821
CCL2	-0.739929871	6347
CD46	-0.251803726	4179
CTSB	-0.317488587	1508
CTSD	-0.336908413	1509
CTSL	-0.349410661	1514
CX3CL1	-0.329837994	6376
CXCR4	-0.346184014	7852
GOPC	0.259813961	57120
HSPA5	0.244730846	3309
IRGM	-0.799942924	345611
KLHL24	0.26280072	54800
LAMP2	-0.316620437	3920
MAP2K7	0.278754509	5609
MYC	0.63490311	4609
NKX2.3	-0.934995434	NA
PEA15	-0.29453397	8682
PELP1	0.335651539	27043
PEX3	0.219194132	8504
RAB33B	0.227078193	83452
RB1	-0.331781933	5925
SAR1A	0.429467041	56681
SIRT1	0.254704318	23411
TNFSF10	-0.481550377	8743
