SYMBOL	foldChange
BNIP3	1.304625921
MYC	1.034976472
STAB1	-1.287108765
ARHGDIB	-0.983768063
MAST1	1.13178982
VSIG4	-1.632955888
PPM1M	-0.626466838
GIMAP4	-1.214289774
HYAL2	-0.624920452
MATR3	0.679424093
HLA.DMA	-1.188598054
TCERG1	0.464844929
ARHGAP25	-0.853176869
VAMP8	-1.149500822
P4HA1	0.916727431
LRRC25	-1.086813991
ABCB10	0.532761389
SLCO2B1	-1.088933623
CDC73	0.508966811
RCSD1	-0.853269185
C1QA	-1.398471457
PDK1	0.928422753
MNS1	0.887010613
P2RY6	-1.192715516
CTSB	-0.747319049
IL10RA	-1.030200098
ACSL5	-0.830237999
TGFBR2	-0.725606528
SH3TC1	-0.732931726
LRRC1	0.749915538
GIMAP6	-0.823608885
TLR8	-1.12553568
GIMAP5	-1.054668295
HDAC4	0.620332016
HLA.DMB	-1.119596083
LY86	-1.102070403
AIF1	-1.023120245
TOPBP1	0.571904867
LCP2	-0.896382602
LPXN	-0.758502274
PPP1R15B	0.422277035
FCGR1A	-1.230141611
TMEM127	-0.452901086
GJA4	-0.982982454
C1QB	-1.339692035
TNFAIP8L2	-0.975226439
GAB3	-0.862175504
PSIP1	0.709326161
PTPN6	-0.891239544
MS4A6A	-1.231421189
SLC7A7	-0.882493387
EHD4	-0.584172139
IL2RA	-1.323056033
MVP	-0.919910094
APOL6	-0.937471057
FCGRT	-0.66079497
GJA5	-1.304478082
MFNG	-0.738901363
CD14	-1.212226569
PYCARD	-0.919767212
SIRT1	0.533565484
SLK	0.506404792
HAVCR2	-0.926316881
ZDHHC3	-0.385537181
NPC2	-0.789449893
LGALS9	-0.904154813
C2	-1.215743368
HLA.DOA	-1.115929334
MPP1	-0.628515441
PRKCI	0.508779273
TLR4	-0.975727298
C1QC	-1.244325178
CD3E	-1.415711614
FCER1G	-1.119884102
CD53	-1.024629808
MYO7A	-0.705172208
PARVG	-0.877061148
SLAMF6	-1.252837081
SAMHD1	-0.600257125
SLC15A3	-0.88902202
RBMX	0.342659529
C1orf162	-1.026028701
BUB3	0.446691434
HLA.DPB1	-0.96008047
SFRP4	-1.568381481
CD74	-1.228266527
MS4A4A	-1.082990959
TMEM86A	-0.767854586
